path,role,storage,expected_bytes,hash_algorithm,expected_hash,annex_key
dataset_description.json,root_metadata,git_blob,2149,sha256,1c0371d0e35e910b6cd4c3b1d1f8436c41bd41ca90657eda5f058b1386afad3b,
participants.tsv,root_metadata,git_blob,108,sha256,69aec2e61bbcec4778849381d7d36c9f13373e939a6e57007fb3b3b196fd41cf,
sub-Bubbles/ses-01/fmap/sub-Bubbles_ses-01_acq-func_dir-AP_run-2_epi.json,func_fmap_sidecar,git_blob,6054,sha256,696ed8cc8136a3730c113dc8c7669118b9686c1e488e9dabd6183889b39ca225,
sub-Bubbles/ses-01/fmap/sub-Bubbles_ses-01_acq-func_dir-AP_run-2_epi.nii.gz,func_fmap_signal,git_annex,436154,md5,699578116a6651e33f0897c5f209caa8,MD5E-s436154--699578116a6651e33f0897c5f209caa8.nii.gz
sub-Bubbles/ses-01/fmap/sub-Bubbles_ses-01_acq-func_dir-PA_run-2_epi.json,func_fmap_sidecar,git_blob,6059,sha256,394947103dcd48442484efce136669e244ae0c08700d75c6c2f6b607f0bc430d,
sub-Bubbles/ses-01/fmap/sub-Bubbles_ses-01_acq-func_dir-PA_run-2_epi.nii.gz,func_fmap_signal,git_annex,432306,md5,9217d0f3926f391c9c38ec96602ef2cd,MD5E-s432306--9217d0f3926f391c9c38ec96602ef2cd.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-1_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1502,sha256,a2403cb236bcf8477b884e013d0207a5bdc2562f8e818f116bd9c2c25c50258a,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-1_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,172087381,md5,f252ffb803aa079f0378c3ce0f527976,MD5E-s172087381--f252ffb803aa079f0378c3ce0f527976.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-1_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1502,sha256,a717cfe5e7029ad4f12f70865666378ae4e89d1a4f0f7aada131994942af64a4,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-1_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,601892,md5,9bd2a31b38655061d320bd1691c8401c,MD5E-s601892--9bd2a31b38655061d320bd1691c8401c.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-2_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,1a1330e26d9b96db043d484b9a8d169eeafe36d053b9831bbefee55c0f731a99,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-2_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,162049691,md5,67ed831097bb9e6a0aeac61d0e325e1f,MD5E-s162049691--67ed831097bb9e6a0aeac61d0e325e1f.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-2_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,a0597e9de8fe0dfb4f431623c3444bd685b36dae8692774c927748570bb5105a,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-2_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,568687,md5,26822a536f8a2973f1be8437f4bdc2cd,MD5E-s568687--26822a536f8a2973f1be8437f4bdc2cd.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-3_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,cf7ea2a2d79a6161b59166647ddd0bbb2740057de9a40666dfdddcc8397bd2d6,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-3_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,154436041,md5,4da6d634eee3cfe1c8abddab371e1023,MD5E-s154436041--4da6d634eee3cfe1c8abddab371e1023.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-3_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,2b0f4390dc65506a8306cb5a27df9a6b2495dd8fcf497aa3d3d479e4f63c4d3d,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-3_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,547166,md5,94c767bdf85e57891b478935868c1699,MD5E-s547166--94c767bdf85e57891b478935868c1699.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-4_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,6007d0be125edb39e5595719c64526ed3c6485846c2edffc8d6a8267a4596a2f,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-4_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,148725159,md5,cf8bbbd010fe11b2793a28268f587e39,MD5E-s148725159--cf8bbbd010fe11b2793a28268f587e39.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-4_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,83340e6aa2a69f6e7482a15279f6db8db6f0ced10873b097e7c069b6c2b210e0,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_echo-4_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,530860,md5,f650eb97f0741e57ceb6da259ecf1eeb,MD5E-s530860--f650eb97f0741e57ceb6da259ecf1eeb.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-1_events.tsv,sorpf_events,git_blob,7783,sha256,e2996619d1ae9c88660469426fe724bd47de7d552abff3f9d354ff622214c2bd,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-1_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1505,sha256,e7280e0f8a7aa76f33229c934a339f2c2b873bd9f01561596d03a27fac89c0d7,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-1_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,172124250,md5,2ea871e97d4c8c5c5e6afcb19c20da74,MD5E-s172124250--2ea871e97d4c8c5c5e6afcb19c20da74.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-1_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1502,sha256,e933f46986bb80a684d1be9bdea428c5aff60465cbd025fae668ba9c1e8f91c9,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-1_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,602179,md5,a82b6c9f2b7209fdb39564551a7ff000,MD5E-s602179--a82b6c9f2b7209fdb39564551a7ff000.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-2_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,5641e50ebf9100157bc7965152b6fe2b6ecfd1876e48750cc85fc83947fbb652,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-2_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,162004013,md5,8d32058611b6283b077a9c9d30473515,MD5E-s162004013--8d32058611b6283b077a9c9d30473515.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-2_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,ebf6551f9603464ea44ee1168b9a591ff50104d7250e0ff5c33a7912a144dc89,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-2_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,568952,md5,d13312ea751efa0869293bbded8be788,MD5E-s568952--d13312ea751efa0869293bbded8be788.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-3_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,a022adca29a7bda87825b6464176584b57f000f13960c832a89cd4555865f5d2,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-3_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,154377781,md5,5da5e17db29d15a602a7add0a7b45815,MD5E-s154377781--5da5e17db29d15a602a7add0a7b45815.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-3_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,21e53f3ec182898ab775ee16db8e0474f607bcb1b9b634dd38dbee36803045db,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-3_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,547028,md5,7e78d97c061aab804bd4d2d5ff1f016e,MD5E-s547028--7e78d97c061aab804bd4d2d5ff1f016e.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-4_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,e52762392ae833619b013e4c69dd05227dbda561d835d6418538f586f34c6002,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-4_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,148675906,md5,b125c94442aa55a3cef64ae57d212ea9,MD5E-s148675906--b125c94442aa55a3cef64ae57d212ea9.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-4_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,ba8377c158c674647ae5783134847356c256b4e533aa9e5ad22ff9608d100c9a,
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_echo-4_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,530627,md5,86ec90017362dbcade72a3610c652fc8,MD5E-s530627--86ec90017362dbcade72a3610c652fc8.nii.gz
sub-Bubbles/ses-01/func/sub-Bubbles_ses-01_task-SORPF_run-2_events.tsv,sorpf_events,git_blob,7575,sha256,3a5908d1348d90fe4bfea01e38e43c6d3bc1a2d8e8ecd909dc993724f2071bd0,
sub-Bubbles/ses-01/sub-Bubbles_ses-01_scans.tsv,session_scans_metadata,git_blob,17659,sha256,ef405a28bbbe6ede8d300ddac022e946248b1b64fb75daf51d449aaba92c2d87,
sub-Bubbles/ses-04/anat/sub-Bubbles_ses-04_run-1_T1w.json,t1w_sidecar,git_blob,2152,sha256,30ad1ff68c2c76851c886b8e26182baddf16dfc77d2782bf7f10589dde8351e1,
sub-Bubbles/ses-04/anat/sub-Bubbles_ses-04_run-1_T1w.nii.gz,t1w_anatomical,git_annex,12512843,md5,69b9dede5096a36e1472f50faba10fd5,MD5E-s12512843--69b9dede5096a36e1472f50faba10fd5.nii.gz
sub-Bubbles/ses-04/fmap/sub-Bubbles_ses-04_acq-func_dir-AP_run-2_epi.json,func_fmap_sidecar,git_blob,6055,sha256,c276ee51c298c10321630756e89bda1eb9333c0ebae5154a6528493a0f228876,
sub-Bubbles/ses-04/fmap/sub-Bubbles_ses-04_acq-func_dir-AP_run-2_epi.nii.gz,func_fmap_signal,git_annex,439073,md5,9ea8667c771c7cf36978c65cc89c6699,MD5E-s439073--9ea8667c771c7cf36978c65cc89c6699.nii.gz
sub-Bubbles/ses-04/fmap/sub-Bubbles_ses-04_acq-func_dir-PA_run-2_epi.json,func_fmap_sidecar,git_blob,6052,sha256,f080801a3065111bd6c87b7bf9babfda49625756b6d95cff4bd634d2d1ffdd5a,
sub-Bubbles/ses-04/fmap/sub-Bubbles_ses-04_acq-func_dir-PA_run-2_epi.nii.gz,func_fmap_signal,git_annex,433620,md5,fad0290355e3f0eb9e7274fdad84e1a6,MD5E-s433620--fad0290355e3f0eb9e7274fdad84e1a6.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-1_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1505,sha256,6ad33dda4f18f5c44d12071913c25a7f52926e6aae020c776dd627ab07fe3cf0,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-1_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,172586057,md5,32ee0d7a62c4ae96f68c198867d7a49d,MD5E-s172586057--32ee0d7a62c4ae96f68c198867d7a49d.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-1_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1503,sha256,634a4fb14529fb958f0b88dc8498f52af02981f544d0dd65962e008f979851ad,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-1_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,603114,md5,341d472b630823bd04ff84852b912936,MD5E-s603114--341d472b630823bd04ff84852b912936.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-2_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,c48d25caa5e356c356813e35c5e27815ddbcff656f60fe733c563df9934c20f5,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-2_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,162563377,md5,46714fece3eda9073297ba3170d3353b,MD5E-s162563377--46714fece3eda9073297ba3170d3353b.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-2_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1504,sha256,ba7daad212a408cb3203e57cff814ff1faac85f0b85a021454f0fd0dc47726e2,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-2_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,570301,md5,fee6b19143fdd2e5411d2461fddc29c6,MD5E-s570301--fee6b19143fdd2e5411d2461fddc29c6.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-3_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,a7a9185738f64795acd521ac108faa2d93ab77bbc0ec673ae59132e5ab4a17d0,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-3_part-mag_bold.nii.gz,sorpf_magnitude_signal,git_annex,155019029,md5,275531bd749ff650a7ee2b0d061b5b7f,MD5E-s155019029--275531bd749ff650a7ee2b0d061b5b7f.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-3_part-mag_sbref.json,sorpf_magnitude_sidecar,git_blob,1504,sha256,34c2d294a28b30fec2099c1c15b7ad750fe38f042b50f8179eb50d8281a816e2,
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-3_part-mag_sbref.nii.gz,sorpf_magnitude_signal,git_annex,549352,md5,3bcaec56c7e248e6f8b5fee097c225e4,MD5E-s549352--3bcaec56c7e248e6f8b5fee097c225e4.nii.gz
sub-Bubbles/ses-04/func/sub-Bubbles_ses-04_task-SORPF_run-1_echo-4_part-mag_bold.json,sorpf_magnitude_sidecar,git_blob,1506,sha256,1575db49a5b1c652caf5f309c3c049fc3d6ec14a5e1b370424d35cb043562176,
